Номер;Время отк;Время зак.;Бот;Инструмент;Напр.;Состояние;Объём;Текущий;Ожидает;Цена входа;Цена выхода;Прибыль;Стоп Активация;Стоп Цена;Профит Активация;Профит цена;Тип Сигнала на Открытие;Тип Сигнала на Закрытие
1556;09.04.2025 16:00:00;09.04.2025 16:03:00;11 MyNewBot1tab1;UsdNok.txt;Sell;Done;91133,896176;0,000000;0;10,9323;10,93287;-51,946321;0;0;0;0;IndexDeviation;IndexQuality
1559;09.04.2025 16:01:00;09.04.2025 16:03:00;7 MyNewBot1tab1;UsdJpy.txt;Sell;Done;6899,177681;0,000000;0;144,399;144,313;593,3293;0;0;0;0;IndexDeviation;IndexQuality
1560;09.04.2025 16:01:00;09.04.2025 16:03:00;0 MyNewBot1tab1;UsdCad.txt;Buy;Done;703261,746367;0,000000;0;1,41692;1,41695;21,097852;0;0;0;0;IndexDeviation;IndexQuality
1550;09.04.2025 15:59:00;;2 MyNewBot1tab1;UsdCny.txt;Sell;Done;135720,362077;0,000000;0;7,3493;7,3493;0;0;0;0;0;IndexDeviation;IndexQuality
1553;09.04.2025 15:54:00;09.04.2025 15:57:00;12 MyNewBot1tab1;UsdPln.txt;Buy;Done;257134,298423;0,000000;0;3,879;3,8806;411,41488;0;0;0;0;IndexDeviation;IndexQuality
1554;09.04.2025 15:54:00;09.04.2025 15:57:00;10 MyNewBot1tab1;UsdMxn.txt;Buy;Done;47468,669431;0,000000;0;21,01233;20,9784;-1610,61195;0;0;0;0;IndexDeviation;IndexQuality
1552;09.04.2025 15:54:00;09.04.2025 15:57:00;3 MyNewBot1tab1;UsdDkk.txt;Buy;Done;147857,281544;0,000000;0;6,74591;6,74745;227,700214;0;0;0;0;IndexDeviation;IndexQuality
1551;09.04.2025 15:54:00;09.04.2025 15:56:00;14 MyNewBot1tab1;UsdSek.txt;Buy;Done;99684,158365;0,000000;0;10,00512;10,0062;107,658891;0;0;0;0;IndexDeviation;IndexDeviationExit
1549;09.04.2025 15:54:00;09.04.2025 15:56:00;11 MyNewBot1tab1;UsdNok.txt;Buy;Done;91195,897487;0,000000;0;10,9384;10,935;-310,066051;0;0;0;0;IndexDeviation;IndexDeviationExit
1548;08.04.2025 17:55:00;08.04.2025 17:57:00;0 MyNewBot1tab1;UsdCad.txt;Sell;Done;704242,736716;0,000000;0;1,4188;1,41923;-302,824377;0;0;0;0;IndexDeviation;IndexQuality
1547;08.04.2025 17:54:00;08.04.2025 17:56:00;12 MyNewBot1tab1;UsdPln.txt;Buy;Done;255653,043380;0,000000;0;3,908;3,9062;-460,17548;0;0;0;0;IndexDeviation;IndexQuality
1544;08.04.2025 17:54:00;08.04.2025 17:56:00;7 MyNewBot1tab1;UsdJpy.txt;Buy;Done;6781,602035;0,000000;0;147,343;147,308;-237,3561;0;0;0;0;IndexDeviation;IndexQuality
1543;08.04.2025 17:53:00;08.04.2025 17:56:00;6 MyNewBot1tab1;UsdInr.txt;Buy;Done;11596,527674;0,000000;0;86,173;86,181;92,77222;0;0;0;0;IndexDeviation;IndexQuality
1545;08.04.2025 17:54:00;08.04.2025 17:56:00;5 MyNewBot1tab1;UsdHuf.txt;Buy;Done;2679,291058;0,000000;0;372,94;372,72;-589,444;0;0;0;0;IndexDeviation;IndexQuality
1546;08.04.2025 17:54:00;08.04.2025 17:56:00;3 MyNewBot1tab1;UsdDkk.txt;Buy;Done;146001,003375;0,000000;0;6,84356;6,83997;-524,143602;0;0;0;0;IndexDeviation;IndexQuality
1542;08.04.2025 17:53:00;08.04.2025 17:55:00;11 MyNewBot1tab1;UsdNok.txt;Sell;Done;91436,201225;0,000000;0;10,928;10,9252;256,021363;0;0;0;0;IndexDeviation;IndexDeviationExit
1541;08.04.2025 17:14:00;08.04.2025 17:16:00;6 MyNewBot1tab1;UsdInr.txt;Sell;Done;11594,825280;0,000000;0;86,151;86,144;81,16378;0;0;0;0;IndexDeviation;IndexQuality
1539;08.04.2025 17:13:00;08.04.2025 17:15:00;15 MyNewBot1tab1;UsdSgd.txt;Buy;Done;739321,724042;0,000000;0;1,35008;1,34998;-73,932172;0;0;0;0;IndexDeviation;IndexQuality
1540;08.04.2025 17:13:00;08.04.2025 17:15:00;14 MyNewBot1tab1;UsdSek.txt;Buy;Done;99657,784939;0,000000;0;10,0144;10,0054;-896,920064;0;0;0;0;IndexDeviation;IndexQuality
